id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_master
47,110048,631,seed_data,seed_data,1696090682243562,1696090682243562,018b05dd-2983-7809-a2d1-95b3f1776eb3
48,110049,628,seed_data,seed_data,1696090682243598,1696090682243598,018b05dd-2983-7809-a2d1-95b3f1776eb3
49,110051,184,seed_data,seed_data,1696090682243635,1696090682243635,018b05dd-2983-7809-a2d1-95b3f1776eb3
50,110052,480,seed_data,seed_data,1696090682243645,1696090682243645,018b05dd-2983-7809-a2d1-95b3f1776eb3
51,110053,483,seed_data,seed_data,1696090682243674,1696090682243674,018b05dd-2983-7809-a2d1-95b3f1776eb3
52,110054,109,seed_data,seed_data,1696090682243701,1696090682243701,018b05dd-2983-7809-a2d1-95b3f1776eb3
53,110055,109,seed_data,seed_data,1696090682243710,1696090682243710,018b05dd-2983-7809-a2d1-95b3f1776eb3
54,110056,487,seed_data,seed_data,1696090682243719,1696090682243719,018b05dd-2983-7809-a2d1-95b3f1776eb3
55,110057,473,seed_data,seed_data,1696090682243746,1696090682243746,018b05dd-2983-7809-a2d1-95b3f1776eb3
56,110058,713,seed_data,seed_data,1696090682243775,1696090682243775,018b05dd-2983-7809-a2d1-95b3f1776eb3
57,110059,713,seed_data,seed_data,1696090682243809,1696090682243809,018b05dd-2983-7809-a2d1-95b3f1776eb3
58,110060,109,seed_data,seed_data,1696090682243843,1696090682243843,018b05dd-2983-7809-a2d1-95b3f1776eb3
59,110061,636,seed_data,seed_data,1696090682243852,1696090682243852,018b05dd-2983-7809-a2d1-95b3f1776eb3
60,110062,628,seed_data,seed_data,1696090682243887,1696090682243887,018b05dd-2983-7809-a2d1-95b3f1776eb3
61,110063,713,seed_data,seed_data,1696090682243925,1696090682243925,018b05dd-2983-7809-a2d1-95b3f1776eb3
62,110064,713,seed_data,seed_data,1696090682243958,1696090682243958,018b05dd-2983-7809-a2d1-95b3f1776eb3
63,110065,628,seed_data,seed_data,1696090682243992,1696090682243992,018b05dd-2983-7809-a2d1-95b3f1776eb3
64,110066,473,seed_data,seed_data,1696090682244030,1696090682244030,018b05dd-2983-7809-a2d1-95b3f1776eb3
65,110067,473,seed_data,seed_data,1696090682244059,1696090682244059,018b05dd-2983-7809-a2d1-95b3f1776eb3
66,110068,628,seed_data,seed_data,1696090682244088,1696090682244088,018b05dd-2983-7809-a2d1-95b3f1776eb3
67,110069,473,seed_data,seed_data,1696090682244126,1696090682244126,018b05dd-2983-7809-a2d1-95b3f1776eb3
68,110070,473,seed_data,seed_data,1696090682244155,1696090682244155,018b05dd-2983-7809-a2d1-95b3f1776eb3
69,110071,636,seed_data,seed_data,1696090682244185,1696090682244185,018b05dd-2983-7809-a2d1-95b3f1776eb3
70,110072,636,seed_data,seed_data,1696090682244220,1696090682244220,018b05dd-2983-7809-a2d1-95b3f1776eb3
71,110073,636,seed_data,seed_data,1696090682244256,1696090682244256,018b05dd-2983-7809-a2d1-95b3f1776eb3
72,110074,628,seed_data,seed_data,1696090682244292,1696090682244292,018b05dd-2983-7809-a2d1-95b3f1776eb3
73,110075,636,seed_data,seed_data,1696090682244329,1696090682244329,018b05dd-2983-7809-a2d1-95b3f1776eb3
74,110076,628,seed_data,seed_data,1696090682244365,1696090682244365,018b05dd-2983-7809-a2d1-95b3f1776eb3
75,110077,636,seed_data,seed_data,1696090682244402,1696090682244402,018b05dd-2983-7809-a2d1-95b3f1776eb3
76,110078,636,seed_data,seed_data,1696090682244438,1696090682244438,018b05dd-2983-7809-a2d1-95b3f1776eb3
77,110080,628,seed_data,seed_data,1696090682244474,1696090682244474,018b05dd-2983-7809-a2d1-95b3f1776eb3
78,110081,487,seed_data,seed_data,1696090682244512,1696090682244512,018b05dd-2983-7809-a2d1-95b3f1776eb3
