id,city_name,state_id,created_by,updated_by,created_at,updated_at,country_id
36,AYODHYA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239090,1696090682239090,018b05dd-2983-7809-a2d1-95b3f1776eb3
37,AZAMGARH,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239093,1696090682239093,018b05dd-2983-7809-a2d1-95b3f1776eb3
38,BAGALKOTE,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239096,1696090682239096,018b05dd-2983-7809-a2d1-95b3f1776eb3
39,BAGESHWAR,34,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239098,1696090682239098,018b05dd-2983-7809-a2d1-95b3f1776eb3
40,BAGHPAT,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239102,1696090682239102,018b05dd-2983-7809-a2d1-95b3f1776eb3
41,BAHRAICH,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239105,1696090682239105,018b05dd-2983-7809-a2d1-95b3f1776eb3
42,BAKSA,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239108,1696090682239108,018b05dd-2983-7809-a2d1-95b3f1776eb3
43,BALAGHAT,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239112,1696090682239112,018b05dd-2983-7809-a2d1-95b3f1776eb3
44,BALANGIR,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239115,1696090682239115,018b05dd-2983-7809-a2d1-95b3f1776eb3
45,BALESHWAR,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239118,1696090682239118,018b05dd-2983-7809-a2d1-95b3f1776eb3
46,BALLARI,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239121,1696090682239121,018b05dd-2983-7809-a2d1-95b3f1776eb3
47,BALLIA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239123,1696090682239123,018b05dd-2983-7809-a2d1-95b3f1776eb3
48,BALOD,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239126,1696090682239126,018b05dd-2983-7809-a2d1-95b3f1776eb3
49,BALODA BAZAR,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239129,1696090682239129,018b05dd-2983-7809-a2d1-95b3f1776eb3
50,BALRAMPUR,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239131,1696090682239131,018b05dd-2983-7809-a2d1-95b3f1776eb3
51,BANAS KANTHA,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239134,1696090682239134,018b05dd-2983-7809-a2d1-95b3f1776eb3
52,BANDA,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239136,1696090682239136,018b05dd-2983-7809-a2d1-95b3f1776eb3
53,BANDIPORA,12,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239139,1696090682239139,018b05dd-2983-7809-a2d1-95b3f1776eb3
54,BANKA,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239142,1696090682239142,018b05dd-2983-7809-a2d1-95b3f1776eb3
55,BANKURA,35,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239143,1696090682239143,018b05dd-2983-7809-a2d1-95b3f1776eb3
56,BANSWARA,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239147,1696090682239147,018b05dd-2983-7809-a2d1-95b3f1776eb3
57,BARABANKI,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239151,1696090682239151,018b05dd-2983-7809-a2d1-95b3f1776eb3
58,BARAMULLA,12,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239154,1696090682239154,018b05dd-2983-7809-a2d1-95b3f1776eb3
59,BARAN,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239156,1696090682239156,018b05dd-2983-7809-a2d1-95b3f1776eb3
60,BAREILLY,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239160,1696090682239160,018b05dd-2983-7809-a2d1-95b3f1776eb3
61,BARGARH,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239163,1696090682239163,018b05dd-2983-7809-a2d1-95b3f1776eb3
62,BARMER,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239166,1696090682239166,018b05dd-2983-7809-a2d1-95b3f1776eb3
63,BARNALA,26,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239169,1696090682239169,018b05dd-2983-7809-a2d1-95b3f1776eb3
64,BARPETA,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239172,1696090682239172,018b05dd-2983-7809-a2d1-95b3f1776eb3
65,BARWANI,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239173,1696090682239173,018b05dd-2983-7809-a2d1-95b3f1776eb3
66,BASTAR,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239176,1696090682239176,018b05dd-2983-7809-a2d1-95b3f1776eb3
67,BASTI,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239178,1696090682239178,018b05dd-2983-7809-a2d1-95b3f1776eb3
68,BATHINDA,26,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239181,1696090682239181,018b05dd-2983-7809-a2d1-95b3f1776eb3
69,BEED,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239184,1696090682239184,018b05dd-2983-7809-a2d1-95b3f1776eb3
70,BEGUSARAI,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239187,1696090682239187,018b05dd-2983-7809-a2d1-95b3f1776eb3
71,BELAGAVI,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239188,1696090682239188,018b05dd-2983-7809-a2d1-95b3f1776eb3
72,BEMETARA,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239191,1696090682239191,018b05dd-2983-7809-a2d1-95b3f1776eb3
73,BENGALURU RURAL,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239193,1696090682239193,018b05dd-2983-7809-a2d1-95b3f1776eb3
74,BENGALURU URBAN,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239195,1696090682239195,018b05dd-2983-7809-a2d1-95b3f1776eb3
75,BETUL,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239198,1696090682239198,018b05dd-2983-7809-a2d1-95b3f1776eb3
76,BHADOHI,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239200,1696090682239200,018b05dd-2983-7809-a2d1-95b3f1776eb3
77,BHADRADRI KOTHAGUDEM,30,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239204,1696090682239204,018b05dd-2983-7809-a2d1-95b3f1776eb3
78,BHADRAK,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239208,1696090682239208,018b05dd-2983-7809-a2d1-95b3f1776eb3
79,BHAGALPUR,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239210,1696090682239210,018b05dd-2983-7809-a2d1-95b3f1776eb3
80,BHANDARA,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239212,1696090682239212,018b05dd-2983-7809-a2d1-95b3f1776eb3
81,BHARATPUR,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239215,1696090682239215,018b05dd-2983-7809-a2d1-95b3f1776eb3
82,BHARUCH,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239218,1696090682239218,018b05dd-2983-7809-a2d1-95b3f1776eb3
83,BHAVNAGAR,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239220,1696090682239220,018b05dd-2983-7809-a2d1-95b3f1776eb3
84,BHILWARA,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239221,1696090682239221,018b05dd-2983-7809-a2d1-95b3f1776eb3
85,BHIND,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239225,1696090682239225,018b05dd-2983-7809-a2d1-95b3f1776eb3
86,BHIWANI,10,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239227,1696090682239227,018b05dd-2983-7809-a2d1-95b3f1776eb3
87,BHOJPUR,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239230,1696090682239230,018b05dd-2983-7809-a2d1-95b3f1776eb3
88,BHOPAL,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239232,1696090682239232,018b05dd-2983-7809-a2d1-95b3f1776eb3
89,BIDAR,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239234,1696090682239234,018b05dd-2983-7809-a2d1-95b3f1776eb3
90,BIJAPUR,6,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239237,1696090682239237,018b05dd-2983-7809-a2d1-95b3f1776eb3
91,BIJNOR,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239239,1696090682239239,018b05dd-2983-7809-a2d1-95b3f1776eb3
92,BIKANER,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239242,1696090682239242,018b05dd-2983-7809-a2d1-95b3f1776eb3
93,BILASPUR,11,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239245,1696090682239245,018b05dd-2983-7809-a2d1-95b3f1776eb3
94,BIRBHUM,35,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239248,1696090682239248,018b05dd-2983-7809-a2d1-95b3f1776eb3
95,BISHNUPUR,20,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239251,1696090682239251,018b05dd-2983-7809-a2d1-95b3f1776eb3
96,BISWANATH,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239254,1696090682239254,018b05dd-2983-7809-a2d1-95b3f1776eb3
97,BOKARO,13,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239255,1696090682239255,018b05dd-2983-7809-a2d1-95b3f1776eb3
98,BONGAIGAON,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239257,1696090682239257,018b05dd-2983-7809-a2d1-95b3f1776eb3
99,BOTAD,9,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239259,1696090682239259,018b05dd-2983-7809-a2d1-95b3f1776eb3
100,BOUDH,24,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239261,1696090682239261,018b05dd-2983-7809-a2d1-95b3f1776eb3
101,BUDAUN,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239264,1696090682239264,018b05dd-2983-7809-a2d1-95b3f1776eb3
